Abkürzung,Name,Sex,Work,Type,Money,Moneytype,Timeframe,Country
HB,Helene Beschstein,2,2,1,3,1,1,3
DE,Dietrich Eckert,1,2,1,5,2,1,3
HF,Henry Ford,1,2,2,3,3,2,2
GV,Großfürstin Viktoria Fedorowna,2,3,1,5,3,1,6
FT,Fritz Thyssen,1,2,1,6,3,2,3
WK,Wirtshaftskreis,3,2,2,6,3,1,3
MESR,Max Erwin Scheubne- Richter gründet Spendenorganisation,1,2,1,5,3,2,3
BB,Bergbauindustrie,3,2,2,5,3,2,3
DAV,Deutscher Arbeitgeberverband/Krupp,3,1,2,6,3,2,3
AHF,Adolf Hitler Spende der deutschen Wirtschaft,3,1,2,6,3,2,3
AH,Adolf Hitler/NSDAP,1,1,1,N.A.,N.A.,N.A.,4
ifW,italienische Wahlhilfe,3,1,2,6,N.A.,1,7